ID,Event,Year,Season,Medal,Age
1864,Athletics Mens 10000 metres,1992,Summer,,27
1865,Weightlifting Mens Bantamweight,1996,Summer,,23
1866,Athletics Mens 4 x 400 metres Relay,1996,Summer,,18
1867,Taekwondo Mens Heavyweight,2000,Summer,,28
1868,Football Mens Football,1996,Summer,,22
1869,Cycling Mens Road Race Individual,1992,Summer,,16
1869,Cycling Mens 100 kilometres Team Time Trial,1992,Summer,,16
1870,Athletics Mens 1500 metres,1988,Summer,,27
1870,Athletics Mens 3000 metres Steeplechase,1988,Summer,,27
1870,Athletics Mens 3000 metres Steeplechase,1992,Summer,,30
1871,Athletics Mens 400 metres,1972,Summer,,26
1871,Athletics Mens 4 x 100 metres Relay,1972,Summer,,26
1872,Football Mens Football,1984,Summer,,18
1873,Fencing Mens epee Team,1984,Summer,,
1874,Football Mens Football,1996,Summer,,20
1875,Athletics Mens Discus Throw,2000,Summer,,19
1875,Athletics Mens Discus Throw,2008,Summer,,27
1876,Athletics Mens 200 metres,1972,Summer,,24
1876,Athletics Mens 4 x 100 metres Relay,1972,Summer,,24
1877,Football Mens Football,1984,Summer,,30
1878,Football Mens Football,1984,Summer,,20
1879,Football Mens Football,1984,Summer,,19
1880,Athletics Mens 110 metres Hurdles,1988,Summer,,26
1880,Athletics Mens 400 metres Hurdles,1988,Summer,,26
1881,Modern Pentathlon Mens Individual,1988,Summer,,
1881,Modern Pentathlon Mens Team,1988,Summer,,
1881,Fencing Mens epee Individual,1988,Summer,,
1881,Fencing Mens epee Team,1988,Summer,,
1882,Cycling Mens Road Race Individual,1992,Summer,,22
1882,Cycling Mens 100 kilometres Team Time Trial,1992,Summer,,22
1883,Cycling Mens 100 kilometres Team Time Trial,1992,Summer,,20
1884,Athletics Mens 400 metres Hurdles,1984,Summer,,21
1884,Athletics Mens 400 metres Hurdles,1988,Summer,,25
1885,Equestrianism Mixed Jumping Individual,1996,Summer,,24
1885,Equestrianism Mixed Jumping Team,1996,Summer,,24
1885,Equestrianism Mixed Jumping Individual,2000,Summer,,28
1885,Equestrianism Mixed Jumping Individual,2004,Summer,,32
1885,Equestrianism Mixed Jumping Individual,2008,Summer,,36
1885,Equestrianism Mixed Jumping Team,2008,Summer,,36
1885,Equestrianism Mixed Jumping Individual,2012,Summer,,40
1885,Equestrianism Mixed Jumping Team,2012,Summer,Bronze,40
1886,Weightlifting Mens Lightweight,2016,Summer,,22
1887,Table Tennis Womens Singles,1988,Summer,,24
1888,Football Mens Football,1992,Summer,,20
1889,Equestrianism Mixed Jumping Individual,1996,Summer,,27
1889,Equestrianism Mixed Jumping Team,1996,Summer,,27
1889,Equestrianism Mixed Jumping Individual,2000,Summer,Bronze,31
1890,Handball Mens Handball,1980,Summer,,
1891,Swimming Mens 100 metres Breaststroke,1992,Summer,,19
1891,Swimming Mens 200 metres Breaststroke,1992,Summer,,19
1892,Football Mens Football,1992,Summer,,19
1893,Football Mens Football,1992,Summer,,22
1894,Judo Mens Half-Heavyweight,2008,Summer,,22
1895,Athletics Womens 100 metres,2004,Summer,,26
1896,Athletics Mens 10000 metres,1992,Summer,,18
1897,Shooting Mens Trap,2016,Summer,,30
1898,Athletics Mens 800 metres,1984,Summer,,24
1898,Athletics Mens 1500 metres,1984,Summer,,24
1899,Taekwondo Mens Welterweight,2000,Summer,,22
1900,Judo Mens Half-Middleweight,1976,Summer,,21
1900,Judo Mens Lightweight,1980,Summer,,25
1901,Athletics Mens 400 metres,2012,Summer,,21
1902,Athletics Mens 4 x 400 metres Relay,1980,Summer,,
1903,Swimming Womens 50 metres Freestyle,2012,Summer,,16
1904,Athletics Mens 4 x 400 metres Relay,2000,Summer,,23
1905,Swimming Mens 50 metres Freestyle,2008,Summer,,30
1906,Athletics Mens Hammer Throw,2012,Summer,,23
1907,Athletics Mens 1500 metres,2012,Summer,,18
1908,Football Mens Football,1996,Summer,,19
1909,Athletics Mens 1500 metres,2012,Summer,,20
1910,Athletics Womens 100 metres,2004,Summer,,21
1910,Athletics Womens 200 metres,2008,Summer,,25
1911,Equestrianism Mixed Jumping Individual,2000,Summer,,32
1912,Athletics Mens 800 metres,1984,Summer,,21
1913,Athletics Mens 5000 metres,1984,Summer,,31
1913,Athletics Mens 10000 metres,1984,Summer,,31
1914,Shooting Mens Free Pistol 50 metres,1984,Summer,,
1915,Swimming Mens 100 metres Butterfly,1984,Summer,,
1916,Judo Mens Half-Heavyweight,1984,Summer,,23
1917,Cycling Mens Road Race Individual,1984,Summer,,
1918,Wrestling Mens Welterweight Freestyle,1988,Summer,,23
1919,Table Tennis Mens Singles,1996,Summer,,20
1920,Athletics Mens Shot Put,2008,Summer,,25
1921,Swimming Mens 100 metres Breaststroke,2008,Summer,,16
1922,Athletics Womens 100 metres,2012,Summer,,19
1923,Athletics Mens 400 metres,1988,Summer,,18
1923,Athletics Mens 4 x 400 metres Relay,1988,Summer,,18
1924,Football Mens Football,1980,Summer,,20
1925,Football Mens Football,1992,Summer,,22
1926,Swimming Mens 100 metres Breaststroke,1984,Summer,,
1926,Swimming Mens 200 metres Breaststroke,1984,Summer,,
1927,Shooting Womens Air Rifle 10 metres,2012,Summer,,20
1927,Shooting Womens Small-Bore Rifle Three Positions 50 metres,2012,Summer,,20
1928,Archery Mens Individual,1984,Summer,,17
1929,Fencing Mens Foil Individual,2008,Summer,,20
1930,Athletics Mens 400 metres Hurdles,2004,Summer,,18
1931,Fencing Mens epee Individual,1988,Summer,,17
1931,Fencing Mens epee Team,1988,Summer,,17
1931,Fencing Mens epee Individual,1992,Summer,,20
1932,Athletics Mens 5000 metres,2012,Summer,,29
1933,Judo Mens Lightweight,1984,Summer,,20
1933,Judo Mens Middleweight,1988,Summer,,24
1934,Table Tennis Mens Singles,1996,Summer,,20
1934,Table Tennis Mens Singles,2000,Summer,,24
1935,Football Mens Football,2012,Summer,,24
1936,Athletics Mens 100 metres,2004,Summer,,24
1936,Athletics Mens 200 metres,2008,Summer,,28
1937,Athletics Mens 5000 metres,1988,Summer,,15
1938,Gymnastics Mens Individual All-Around,2008,Summer,,21
1938,Gymnastics Mens Floor Exercise,2008,Summer,,21
1938,Gymnastics Mens Horse Vault,2008,Summer,,21
1938,Gymnastics Mens Pommelled Horse,2008,Summer,,21
1939,Handball Mens Handball,1996,Summer,,28
1940,Football Mens Football,1996,Summer,,21
1941,Table Tennis Mens Singles,2004,Summer,,29
1942,Athletics Mens 4 x 400 metres Relay,2000,Summer,,25
1943,Athletics Womens 400 metres,2016,Summer,,16
1944,Boxing Mens Light-Welterweight,1988,Summer,,
1945,Fencing Mens Foil Team,1988,Summer,,22
1946,Athletics Mens 100 metres,2012,Summer,,24
1946,Athletics Mens 100 metres,2016,Summer,,28
1947,Shooting Mens Air Rifle 10 metres,1984,Summer,,
1948,Shooting Mixed Trap,1988,Summer,,
1949,Hockey Mens Hockey,1984,Summer,Gold,25
1950,Diving Mens Springboard,1996,Summer,,23
1951,Table Tennis Mens Singles,2008,Summer,,21
1951,Table Tennis Mens Singles,2012,Summer,,25
1952,Football Mens Football,1980,Summer,,20
1953,Athletics Mens 200 metres,1984,Summer,,19
1953,Athletics Mens 4 x 400 metres Relay,1984,Summer,,19
1954,Athletics Mens 5000 metres,1992,Summer,,25
1954,Athletics Mens 10000 metres,1992,Summer,,25
1955,Shooting Mens Double Trap,2012,Summer,,27
1956,Athletics Womens 100 metres,2000,Summer,,16
1957,Table Tennis Womens Singles,1992,Summer,,20
1959,Athletics Mens 200 metres,1996,Summer,,23
1959,Athletics Mens 200 metres,2000,Summer,,28
1959,Athletics Mens 4 x 100 metres Relay,2000,Summer,,28
1960,Football Mens Football,1980,Summer,,26
1961,Football Mens Football,2000,Summer,,19
1962,Judo Mens Extra-Lightweight,1992,Summer,,17
1963,Football Mens Football,1984,Summer,,24
1964,Shooting Mens Rapid-Fire Pistol 25 metres,1984,Summer,,
1965,Football Mens Football,1992,Summer,,19
1966,Shooting Mixed Trap,1984,Summer,,25
1967,Table Tennis Mens Singles,1992,Summer,,24
1968,Athletics Mens 4 x 400 metres Relay,2000,Summer,,18
1969,Wrestling Mens Light-Flyweight Greco-Roman,1996,Summer,,27
1970,Archery Mens Individual,1988,Summer,,20
1971,Athletics Mens Javelin Throw,2000,Summer,,23
1972,Football Mens Football,1996,Summer,,20
1973,Judo Mens Lightweight,1992,Summer,,19
1974,Athletics Mens 110 metres Hurdles,1960,Summer,,
1974,Athletics Mens 400 metres Hurdles,1960,Summer,,
1975,Shooting Mens Small-Bore Rifle Prone 50 metres,1984,Summer,,
1976,Swimming Mens 100 metres Freestyle,2004,Summer,,23
1976,Swimming Mens 100 metres Freestyle,2008,Summer,,26
1977,Athletics Mens 400 metres,1984,Summer,,
1977,Athletics Mens 4 x 400 metres Relay,1984,Summer,,
1978,Athletics Mens 5000 metres,2012,Summer,,37
1979,Athletics Mens 100 metres,1972,Summer,,24
1979,Athletics Mens 4 x 100 metres Relay,1972,Summer,,24
1980,Shooting Mens Double Trap,2016,Summer,,31
1982,Swimming Mens 50 metres Freestyle,2004,Summer,,18
1983,Athletics Mens 800 metres,2000,Summer,,25
1984,Handball Mens Handball,1996,Summer,,23
1985,Football Mens Football,1992,Summer,,21
1986,Football Mens Football,2012,Summer,,23
1987,Football Mens Football,2000,Summer,,29
1988,Wrestling Mens Featherweight Greco-Roman,1968,Summer,,25
1988,Wrestling Mens Featherweight Freestyle,1968,Summer,,25
1989,Shooting Mens Rapid-Fire Pistol 25 metres,1984,Summer,,
1990,Boxing Mens Light-Welterweight,1960,Summer,,20
1990,Boxing Mens Welterweight,1964,Summer,,24
1991,Boxing Mens Light-Welterweight,2016,Summer,,22
1992,Rowing Mens Single Sculls,2016,Summer,,22
1993,Athletics Womens 100 metres,2016,Summer,,21
1994,Athletics Mens 100 metres,1988,Summer,,30
1994,Athletics Mens 200 metres,1988,Summer,,30
1994,Athletics Mens 4 x 400 metres Relay,1988,Summer,,30
1994,Athletics Mens 200 metres,1992,Summer,,34
1995,Athletics Mens Shot Put,1992,Summer,,27
1995,Athletics Mens Discus Throw,1992,Summer,,27
1995,Athletics Mens Shot Put,1996,Summer,,31
1996,Shooting Mens Rapid-Fire Pistol 25 metres,1984,Summer,,
1996,Shooting Mens Small-Bore Rifle Prone 50 metres,1984,Summer,,
1997,Shooting Mixed Trap,1984,Summer,,
1998,Handball Mens Handball,1980,Summer,,
1999,Handball Mens Handball,1996,Summer,,25
2000,Football Mens Football,1984,Summer,,18
2001,Shooting Mens Small-Bore Rifle Three Positions 50 metres,2016,Summer,,31
2002,Shooting Mens Small-Bore Rifle Prone 50 metres,1992,Summer,,28
2002,Shooting Mens Air Rifle 10 metres,1996,Summer,,32
2002,Shooting Mens Small-Bore Rifle Prone 50 metres,1996,Summer,,32
2003,Shooting Mens Rapid-Fire Pistol 25 metres,1984,Summer,,
2004,Fencing Mens Foil Team,1976,Summer,,19
2004,Fencing Mens Foil Team,1980,Summer,,23
2004,Fencing Mens Sabre Individual,1980,Summer,,23
2005,Athletics Mens 400 metres,2000,Summer,,18
2006,Football Mens Football,1996,Summer,,25
